iter	Passed	Remaining
0	9	9515
1	19	9802
2	29	9888
3	42	10617
4	50	10129
5	58	9757
6	66	9445
7	74	9211
8	81	8955
9	88	8760
10	95	8577
11	102	8436
12	109	8310
13	116	8194
14	123	8083
15	129	7958
16	135	7845
17	142	7778
18	149	7706
19	155	7616
20	162	7557
21	168	7508
22	174	7432
23	181	7400
24	189	7372
25	195	7329
26	201	7276
27	208	7254
28	215	7204
29	221	7166
30	228	7144
31	235	7118
32	242	7103
33	249	7084
34	256	7060
35	263	7051
36	270	7046
37	278	7048
38	285	7031
39	291	7001
40	298	6974
41	304	6946
42	310	6917
43	316	6881
44	322	6843
45	328	6813
46	334	6772
47	339	6735
48	345	6702
49	352	6703
50	358	6665
51	363	6635
52	369	6610
53	375	6583
54	381	6557
55	387	6525
56	394	6520
57	401	6516
58	406	6484
59	412	6456
60	418	6435
61	424	6415
62	429	6393
63	435	6369
64	441	6353
65	448	6340
66	454	6326
67	460	6312
68	466	6288
69	472	6278
70	479	6268
71	485	6255
72	492	6249
73	498	6233
74	503	6214
75	510	6202
76	516	6190
77	522	6179
78	529	6170
79	535	6158
80	541	6147
81	548	6143
82	554	6131
83	561	6119
84	568	6114
85	574	6101
86	580	6090
87	587	6085
88	593	6075
89	599	6065
90	606	6057
91	612	6045
92	619	6037
93	625	6028
94	631	6017
95	637	6006
96	643	5995
97	649	5981
98	656	5975
99	662	5959
100	668	5951
101	675	5945
102	680	5929
103	687	5923
104	693	5913
105	699	5900
106	705	5885
107	711	5873
108	717	5861
109	722	5843
110	727	5829
111	733	5813
112	738	5796
113	743	5779
114	749	5764
115	754	5748
116	759	5730
117	765	5721
118	770	5705
119	775	5690
120	781	5675
121	786	5657
122	791	5641
123	796	5628
124	801	5612
125	806	5596
126	812	5583
127	818	5573
128	823	5560
129	828	5545
130	833	5530
131	838	5515
132	844	5503
133	849	5493
134	855	5479
135	860	5466
136	866	5456
137	872	5447
138	878	5438
139	883	5427
140	889	5419
141	894	5406
142	900	5396
143	906	5386
144	911	5377
145	917	5364
146	922	5354
147	927	5341
148	933	5329
149	938	5318
150	943	5305
151	948	5293
152	954	5282
153	960	5275
154	966	5267
155	972	5262
156	977	5248
157	985	5249
158	990	5238
159	995	5228
160	1001	5217
161	1005	5203
162	1011	5191
163	1016	5182
164	1022	5174
165	1027	5163
166	1033	5152
167	1038	5141
168	1043	5129
169	1048	5120
170	1054	5112
171	1059	5100
172	1065	5092
173	1070	5083
174	1076	5074
175	1082	5066
176	1087	5056
177	1092	5047
178	1098	5037
179	1103	5026
180	1108	5015
181	1114	5009
182	1120	5003
183	1126	4997
184	1133	4991
185	1138	4981
186	1143	4972
187	1148	4962
188	1154	4954
189	1160	4946
190	1165	4938
191	1171	4930
192	1177	4922
193	1182	4913
194	1187	4903
195	1192	4892
196	1197	4882
197	1203	4873
198	1208	4863
199	1213	4855
200	1219	4848
201	1225	4840
202	1231	4834
203	1236	4824
204	1241	4815
205	1247	4807
206	1253	4802
207	1259	4794
208	1264	4787
209	1270	4778
210	1275	4769
211	1280	4761
212	1286	4753
213	1292	4746
214	1298	4739
215	1303	4730
216	1308	4722
217	1314	4715
218	1320	4708
219	1326	4702
220	1331	4694
221	1337	4687
222	1345	4686
223	1351	4682
224	1357	4675
225	1363	4669
226	1369	4661
227	1374	4653
228	1379	4645
229	1385	4637
230	1390	4628
231	1396	4621
232	1401	4614
233	1407	4607
234	1412	4598
235	1418	4591
236	1423	4582
237	1428	4573
238	1433	4565
239	1438	4555
240	1443	4545
241	1448	4536
242	1453	4528
243	1458	4520
244	1463	4510
245	1468	4501
246	1473	4492
247	1478	4483
248	1483	4475
249	1489	4467
250	1493	4457
251	1498	4448
252	1503	4439
253	1508	4431
254	1514	4425
255	1520	4418
256	1525	4410
257	1530	4402
258	1535	4393
259	1540	4385
260	1545	4376
261	1550	4366
262	1555	4357
263	1559	4348
264	1565	4340
265	1570	4333
266	1575	4326
267	1580	4317
268	1585	4309
269	1590	4300
270	1596	4293
271	1601	4285
272	1606	4277
273	1611	4269
274	1617	4263
275	1622	4255
276	1627	4248
277	1633	4241
278	1638	4233
279	1643	4226
280	1648	4218
281	1653	4210
282	1658	4201
283	1663	4193
284	1668	4184
285	1673	4177
286	1678	4170
287	1683	4162
288	1688	4154
289	1693	4146
290	1698	4137
291	1703	4130
292	1708	4121
293	1713	4114
294	1718	4106
295	1723	4099
296	1728	4092
297	1733	4084
298	1739	4077
299	1744	4070
300	1749	4063
301	1755	4056
302	1760	4049
303	1765	4041
304	1770	4034
305	1775	4026
306	1780	4018
307	1785	4011
308	1790	4003
309	1795	3996
310	1800	3988
311	1805	3981
312	1810	3973
313	1815	3965
314	1820	3958
315	1825	3950
316	1830	3943
317	1835	3935
318	1839	3927
319	1844	3920
320	1849	3912
321	1854	3905
322	1860	3898
323	1864	3891
324	1869	3883
325	1874	3876
326	1880	3869
327	1884	3861
328	1889	3854
329	1894	3846
330	1900	3840
331	1905	3833
332	1911	3828
333	1917	3824
334	1923	3818
335	1929	3812
336	1935	3807
337	1940	3801
338	1946	3795
339	1952	3789
340	1957	3782
341	1961	3774
342	1966	3767
343	1971	3760
344	1976	3753
345	1981	3745
346	1986	3738
347	1991	3731
348	1996	3724
349	2002	3718
350	2007	3711
351	2012	3704
352	2018	3698
353	2023	3691
354	2028	3686
355	2034	3680
356	2039	3674
357	2045	3667
358	2050	3661
359	2056	3655
360	2060	3647
361	2065	3640
362	2071	3635
363	2077	3629
364	2082	3622
365	2087	3616
366	2092	3609
367	2098	3603
368	2103	3597
369	2108	3590
370	2114	3584
371	2119	3578
372	2125	3572
373	2131	3567
374	2136	3560
375	2141	3554
376	2146	3547
377	2151	3540
378	2157	3534
379	2162	3528
380	2168	3522
381	2173	3517
382	2178	3510
383	2184	3503
384	2189	3496
385	2194	3490
386	2199	3483
387	2204	3476
388	2209	3469
389	2215	3464
390	2220	3458
391	2225	3451
392	2230	3445
393	2235	3438
394	2240	3432
395	2245	3425
396	2250	3418
397	2255	3412
398	2260	3405
399	2265	3398
400	2270	3392
401	2275	3385
402	2280	3378
403	2285	3371
404	2290	3365
405	2296	3359
406	2301	3353
407	2308	3349
408	2314	3343
409	2320	3338
410	2325	3332
411	2330	3326
412	2335	3319
413	2340	3312
414	2345	3306
415	2350	3299
416	2355	3292
417	2360	3286
418	2365	3279
419	2369	3272
420	2375	3266
421	2379	3259
422	2384	3252
423	2389	3246
424	2394	3240
425	2399	3233
426	2404	3226
427	2409	3220
428	2414	3213
429	2419	3207
430	2425	3202
431	2430	3195
432	2435	3189
433	2441	3183
434	2446	3177
435	2451	3170
436	2456	3164
437	2461	3158
438	2466	3152
439	2472	3146
440	2477	3139
441	2481	3132
442	2486	3126
443	2491	3119
444	2496	3113
445	2501	3107
446	2507	3102
447	2513	3096
448	2518	3090
449	2524	3085
450	2530	3079
451	2535	3074
452	2540	3068
453	2545	3061
454	2551	3055
455	2556	3049
456	2561	3043
457	2566	3037
458	2571	3031
459	2577	3025
460	2582	3019
461	2588	3014
462	2594	3008
463	2600	3003
464	2605	2998
465	2611	2992
466	2616	2986
467	2622	2980
468	2627	2975
469	2633	2969
470	2638	2963
471	2644	2958
472	2649	2952
473	2655	2946
474	2661	2941
475	2666	2935
476	2672	2930
477	2678	2924
478	2683	2919
479	2688	2913
480	2694	2907
481	2700	2902
482	2705	2896
483	2711	2891
484	2717	2885
485	2722	2879
486	2728	2874
487	2733	2868
488	2738	2862
489	2743	2855
490	2748	2849
491	2753	2842
492	2758	2836
493	2763	2830
494	2768	2824
495	2773	2818
496	2778	2811
497	2783	2806
498	2788	2799
499	2794	2794
500	2799	2787
501	2804	2782
502	2810	2776
503	2814	2770
504	2819	2763
505	2824	2757
506	2829	2751
507	2834	2745
508	2839	2739
509	2844	2733
510	2849	2727
511	2854	2720
512	2860	2715
513	2865	2708
514	2869	2702
515	2875	2696
516	2880	2691
517	2885	2684
518	2890	2679
519	2895	2673
520	2902	2668
521	2908	2663
522	2914	2658
523	2920	2652
524	2926	2647
525	2932	2642
526	2937	2636
527	2943	2631
528	2949	2626
529	2954	2620
530	2960	2615
531	2966	2609
532	2972	2604
533	2977	2598
534	2982	2592
535	2988	2586
536	2992	2580
537	2997	2574
538	3002	2567
539	3008	2562
540	3013	2556
541	3018	2550
542	3023	2544
543	3028	2538
544	3033	2532
545	3038	2526
546	3043	2520
547	3048	2514
548	3053	2508
549	3058	2502
550	3063	2496
551	3068	2490
552	3073	2484
553	3078	2478
554	3083	2472
555	3088	2466
556	3093	2460
557	3099	2454
558	3105	2449
559	3111	2444
560	3116	2438
561	3122	2433
562	3128	2428
563	3134	2422
564	3139	2417
565	3145	2411
566	3150	2405
567	3156	2400
568	3162	2395
569	3167	2389
570	3173	2384
571	3178	2378
572	3184	2373
573	3190	2367
574	3196	2362
575	3202	2357
576	3208	2351
577	3213	2346
578	3219	2340
579	3224	2335
580	3229	2328
581	3234	2323
582	3239	2317
583	3245	2311
584	3250	2305
585	3255	2299
586	3260	2293
587	3265	2288
588	3270	2282
589	3275	2276
590	3280	2270
591	3285	2264
592	3291	2258
593	3296	2253
594	3302	2247
595	3307	2241
596	3312	2236
597	3318	2230
598	3323	2224
599	3328	2219
600	3333	2213
601	3339	2207
602	3344	2201
603	3349	2195
604	3354	2190
605	3359	2184
606	3364	2178
607	3369	2172
608	3374	2166
609	3379	2160
610	3384	2155
611	3391	2150
612	3397	2145
613	3403	2139
614	3408	2133
615	3414	2128
616	3419	2122
617	3425	2117
618	3431	2111
619	3437	2107
620	3443	2101
621	3449	2096
622	3454	2090
623	3459	2084
624	3465	2079
625	3469	2073
626	3474	2067
627	3479	2061
628	3485	2056
629	3491	2050
630	3496	2044
631	3501	2039
632	3507	2033
633	3513	2028
634	3518	2022
635	3523	2016
636	3529	2011
637	3534	2005
638	3539	1999
639	3545	1994
640	3550	1988
641	3556	1983
642	3562	1977
643	3567	1972
644	3574	1967
645	3580	1961
646	3585	1956
647	3591	1950
648	3596	1945
649	3602	1939
650	3608	1934
651	3614	1928
652	3619	1923
653	3624	1917
654	3630	1911
655	3635	1906
656	3640	1900
657	3646	1895
658	3651	1889
659	3656	1883
660	3661	1877
661	3666	1871
662	3671	1866
663	3676	1860
664	3681	1854
665	3686	1848
666	3691	1843
667	3697	1837
668	3702	1832
669	3707	1826
670	3713	1820
671	3718	1814
672	3723	1809
673	3728	1803
674	3734	1798
675	3739	1792
676	3744	1786
677	3750	1781
678	3755	1775
679	3760	1769
680	3765	1763
681	3771	1758
682	3775	1752
683	3780	1746
684	3785	1740
685	3790	1734
686	3795	1729
687	3800	1723
688	3805	1717
689	3810	1711
690	3815	1706
691	3819	1700
692	3824	1694
693	3829	1688
694	3835	1683
695	3840	1677
696	3845	1671
697	3850	1665
698	3855	1660
699	3861	1654
700	3867	1649
701	3872	1644
702	3878	1638
703	3884	1633
704	3890	1627
705	3896	1622
706	3902	1617
707	3908	1611
708	3914	1606
709	3920	1601
710	3926	1595
711	3932	1590
712	3937	1585
713	3943	1579
714	3948	1573
715	3954	1568
716	3959	1562
717	3964	1557
718	3969	1551
719	3974	1545
720	3979	1539
721	3984	1534
722	3989	1528
723	3994	1522
724	4000	1517
725	4005	1511
726	4010	1506
727	4015	1500
728	4020	1494
729	4025	1489
730	4031	1483
731	4036	1477
732	4042	1472
733	4048	1467
734	4053	1461
735	4058	1455
736	4064	1450
737	4070	1444
738	4075	1439
739	4081	1433
740	4086	1428
741	4092	1422
742	4098	1417
743	4103	1411
744	4109	1406
745	4115	1401
746	4121	1395
747	4126	1390
748	4133	1385
749	4138	1379
750	4144	1374
751	4149	1368
752	4155	1363
753	4161	1357
754	4166	1352
755	4171	1346
756	4177	1340
757	4182	1335
758	4187	1329
759	4192	1324
760	4197	1318
761	4202	1312
762	4208	1307
763	4213	1301
764	4217	1295
765	4222	1289
766	4227	1284
767	4233	1278
768	4238	1273
769	4243	1267
770	4249	1262
771	4254	1256
772	4260	1251
773	4265	1245
774	4270	1239
775	4275	1234
776	4281	1228
777	4286	1223
778	4291	1217
779	4296	1211
780	4301	1206
781	4306	1200
782	4311	1194
783	4316	1189
784	4321	1183
785	4325	1177
786	4330	1172
787	4335	1166
788	4340	1160
789	4345	1155
790	4350	1149
791	4355	1143
792	4361	1138
793	4366	1132
794	4371	1127
795	4376	1121
796	4381	1116
797	4387	1110
798	4392	1105
799	4397	1099
800	4403	1094
801	4409	1088
802	4415	1083
803	4421	1077
804	4426	1072
805	4432	1066
806	4437	1061
807	4442	1055
808	4447	1049
809	4452	1044
810	4457	1038
811	4461	1033
812	4466	1027
813	4472	1021
814	4476	1016
815	4482	1010
816	4487	1005
817	4492	999
818	4498	994
819	4503	988
820	4508	982
821	4513	977
822	4518	971
823	4524	966
824	4529	960
825	4534	955
826	4539	949
827	4544	944
828	4549	938
829	4554	932
830	4560	927
831	4565	921
832	4570	916
833	4575	910
834	4580	905
835	4586	899
836	4591	894
837	4596	888
838	4601	883
839	4607	877
840	4612	872
841	4618	866
842	4624	861
843	4629	855
844	4634	850
845	4638	844
846	4643	838
847	4649	833
848	4653	827
849	4659	822
850	4663	816
851	4668	811
852	4673	805
853	4679	799
854	4685	794
855	4690	789
856	4696	783
857	4701	778
858	4707	772
859	4712	767
860	4717	761
861	4722	756
862	4727	750
863	4732	744
864	4737	739
865	4742	733
866	4747	728
867	4752	722
868	4757	717
869	4763	711
870	4768	706
871	4774	700
872	4779	695
873	4785	689
874	4790	684
875	4796	678
876	4802	673
877	4806	667
878	4812	662
879	4817	656
880	4822	651
